Round,HomeTeam,AwayTeam,FTR
1,Aston Villa,Southampton,H
1,Blackburn,West Brom,D
1,Bolton,Charlton,H
1,Man City,Fulham,D
1,Middlesbrough,Newcastle,D
1,Norwich,Crystal Palace,D
1,Portsmouth,Birmingham,D
1,Tottenham,Liverpool,D
1,Chelsea,Man United,H
1,Everton,Arsenal,A
2,Birmingham,Chelsea,A
2,Charlton,Portsmouth,H
2,Crystal Palace,Everton,A
2,Fulham,Bolton,H
2,Liverpool,Man City,H
2,Man United,Norwich,H
2,Newcastle,Tottenham,A
2,Southampton,Blackburn,H
2,Arsenal,Middlesbrough,H
2,West Brom,Aston Villa,D
3,Birmingham,Man City,H
3,Crystal Palace,Chelsea,A
3,Arsenal,Blackburn,H
3,Charlton,Aston Villa,H
3,Fulham,Middlesbrough,A
3,Newcastle,Norwich,D
3,Southampton,Bolton,A
3,West Brom,Tottenham,D
3,Aston Villa,Newcastle,H
3,Blackburn,Man United,D
4,Chelsea,Southampton,H
4,Everton,West Brom,H
4,Man City,Charlton,H
4,Middlesbrough,Crystal Palace,H
4,Norwich,Arsenal,A
4,Tottenham,Birmingham,H
4,Bolton,Liverpool,H
4,Man United,Everton,D
4,Portsmouth,Fulham,H
4,Aston Villa,Chelsea,D
5,Bolton,Man United,D
5,Fulham,Arsenal,A
5,Liverpool,West Brom,H
5,Man City,Everton,A
5,Middlesbrough,Birmingham,H
5,Newcastle,Blackburn,H
5,Portsmouth,Crystal Palace,H
5,Tottenham,Norwich,D
5,Charlton,Southampton,D
5,Arsenal,Bolton,D
6,Birmingham,Charlton,D
6,Blackburn,Portsmouth,H
6,Crystal Palace,Man City,A
6,Norwich,Aston Villa,D
6,West Brom,Fulham,D
6,Chelsea,Tottenham,D
6,Everton,Middlesbrough,H
6,Southampton,Newcastle,A
6,Man United,Liverpool,H
6,Aston Villa,Crystal Palace,D
7,Bolton,Birmingham,D
7,Fulham,Southampton,H
7,Liverpool,Norwich,H
7,Man City,Arsenal,A
7,Middlesbrough,Chelsea,A
7,Newcastle,West Brom,H
7,Tottenham,Man United,A
7,Portsmouth,Everton,A
7,Charlton,Blackburn,H
7,Arsenal,Charlton,H
8,Blackburn,Aston Villa,D
8,Everton,Tottenham,A
8,Norwich,Portsmouth,D
8,Southampton,Man City,D
8,West Brom,Bolton,H
8,Birmingham,Newcastle,D
8,Chelsea,Liverpool,H
8,Man United,Middlesbrough,D
8,Crystal Palace,Fulham,H
8,Arsenal,Aston Villa,H
9,Birmingham,Man United,D
9,Blackburn,Middlesbrough,A
9,Bolton,Crystal Palace,H
9,Everton,Southampton,H
9,Fulham,Liverpool,A
9,Man City,Chelsea,H
9,West Brom,Norwich,D
9,Charlton,Newcastle,D
9,Portsmouth,Tottenham,H
9,Aston Villa,Fulham,H
10,Chelsea,Blackburn,H
10,Crystal Palace,West Brom,H
10,Liverpool,Charlton,H
10,Norwich,Everton,A
10,Tottenham,Bolton,A
10,Man United,Arsenal,H
10,Middlesbrough,Portsmouth,D
10,Newcastle,Man City,H
10,Southampton,Birmingham,D
10,Arsenal,Southampton,D
11,Birmingham,Crystal Palace,A
11,Blackburn,Liverpool,D
11,Charlton,Middlesbrough,A
11,Everton,Aston Villa,D
11,Fulham,Tottenham,H
11,Portsmouth,Man United,H
11,West Brom,Chelsea,A
11,Bolton,Newcastle,H
11,Man City,Norwich,D
11,Aston Villa,Portsmouth,H
12,Chelsea,Everton,H
12,Crystal Palace,Arsenal,D
12,Liverpool,Birmingham,A
12,Norwich,Blackburn,D
12,Southampton,West Brom,D
12,Tottenham,Charlton,A
12,Man United,Man City,D
12,Middlesbrough,Bolton,D
12,Newcastle,Fulham,A
12,Birmingham,Everton,A
13,Bolton,Aston Villa,A
13,Charlton,Norwich,H
13,Fulham,Chelsea,A
13,Liverpool,Crystal Palace,H
13,Man City,Blackburn,D
13,Southampton,Portsmouth,H
13,Tottenham,Arsenal,A
13,Newcastle,Man United,A
13,West Brom,Middlesbrough,A
13,Arsenal,West Brom,D
14,Chelsea,Bolton,D
14,Crystal Palace,Newcastle,A
14,Everton,Fulham,H
14,Man United,Charlton,H
14,Middlesbrough,Liverpool,H
14,Norwich,Southampton,H
14,Portsmouth,Man City,A
14,Blackburn,Birmingham,D
14,Aston Villa,Tottenham,H
14,Birmingham,Norwich,D
15,Bolton,Portsmouth,A
15,Charlton,Chelsea,A
15,Fulham,Blackburn,A
15,Man City,Aston Villa,H
15,Southampton,Crystal Palace,D
15,West Brom,Man United,A
15,Liverpool,Arsenal,H
15,Newcastle,Everton,D
15,Tottenham,Middlesbrough,H
15,Arsenal,Birmingham,H
16,Aston Villa,Liverpool,D
16,Blackburn,Tottenham,A
16,Chelsea,Newcastle,H
16,Everton,Bolton,H
16,Man United,Southampton,H
16,Norwich,Fulham,A
16,Portsmouth,West Brom,H
16,Crystal Palace,Charlton,A
16,Middlesbrough,Man City,H
16,Crystal Palace,Blackburn,D
17,Everton,Liverpool,H
17,Man City,Tottenham,A
17,Newcastle,Portsmouth,D
17,Norwich,Bolton,H
17,Southampton,Middlesbrough,D
17,West Brom,Charlton,A
17,Arsenal,Chelsea,D
17,Aston Villa,Birmingham,A
17,Fulham,Man United,D
17,Liverpool,Portsmouth,D
18,Birmingham,West Brom,H
18,Blackburn,Everton,D
18,Bolton,Man City,A
18,Chelsea,Norwich,H
18,Man United,Crystal Palace,H
18,Middlesbrough,Aston Villa,H
18,Tottenham,Southampton,H
18,Liverpool,Newcastle,H
18,Portsmouth,Arsenal,A
18,Charlton,Fulham,H
19,Arsenal,Fulham,H
19,Birmingham,Middlesbrough,H
19,Blackburn,Newcastle,D
19,Chelsea,Aston Villa,H
19,Crystal Palace,Portsmouth,A
19,Everton,Man City,H
19,Man United,Bolton,H
19,Norwich,Tottenham,A
19,Southampton,Charlton,D
19,West Brom,Liverpool,A
20,Aston Villa,Man United,A
20,Bolton,Blackburn,A
20,Charlton,Everton,H
20,Fulham,Birmingham,A
20,Liverpool,Southampton,H
20,Man City,West Brom,D
20,Middlesbrough,Norwich,H
20,Portsmouth,Chelsea,A
20,Tottenham,Crystal Palace,D
20,Newcastle,Arsenal,A
21,Aston Villa,Blackburn,H
21,Bolton,West Brom,D
21,Charlton,Arsenal,A
21,Fulham,Crystal Palace,H
21,Liverpool,Chelsea,A
21,Man City,Southampton,H
21,Middlesbrough,Man United,A
21,Newcastle,Birmingham,H
21,Portsmouth,Norwich,D
21,Tottenham,Everton,H
22,Blackburn,Charlton,H
22,Crystal Palace,Aston Villa,H
22,Norwich,Liverpool,A
22,West Brom,Newcastle,D
22,Arsenal,Man City,D
22,Birmingham,Bolton,A
22,Chelsea,Middlesbrough,H
22,Everton,Portsmouth,H
22,Man United,Tottenham,D
22,Southampton,Fulham,D
23,Aston Villa,Norwich,H
23,Bolton,Arsenal,H
23,Charlton,Birmingham,H
23,Liverpool,Man United,A
23,Man City,Crystal Palace,H
23,Newcastle,Southampton,H
